TotalBsmtSF,YearBuilt,BsmtFinType1,GrLivArea,GarageArea,LotArea,BsmtExposure,GarageFinish,2ndFlrSF
0,1950,,1040,420,7200,None,Unf,0.0
1235,1961,Rec,1235,480,8500,No,Unf,0.0
876,1921,ALQ,964,432,13360,No,Unf,0.0
1214,1910,Rec,2291,506,7200,Mn,Unf,1031.0
824,1997,GLQ,1786,684,9337,No,RFn,881.0
680,1993,,1470,420,9765,No,Fin,790.0
1588,1999,ALQ,1588,472,10264,Av,RFn,
960,1965,Rec,960,432,10921,No,Fin,0.0
458,1920,ALQ,835,366,10625,No,Unf,0.0
950,1959,ALQ,1225,0,9320,No,None,0.0
1610,1977,ALQ,1610,480,10603,Mn,RFn,0.0
741,1985,,1732,476,9206,No,Fin,755.0
0,1979,None,1535,410,7018,None,Unf,0.0
1226,2009,Unf,1226,740,10402,No,RFn,0.0
1040,1931,LwQ,1818,240,7758,No,,592.0
1053,2003,Unf,1992,648,9375,No,RFn,
641,1885,Unf,1047,273,10800,No,Unf,0.0
789,1948,ALQ,789,250,6000,No,Unf,0.0
793,1919,Unf,1517,0,8500,No,None,
1844,1977,BLQ,1844,546,11751,No,RFn,0.0
994,1954,Rec,1855,325,9525,No,Unf,639.0
384,2000,GLQ,1430,400,7750,No,Fin,656.0
1264,2007,GLQ,2696,792,9965,Av,,1414.0
1809,1953,,2259,450,21000,Mn,Unf,0.0
1028,1945,ALQ,2320,180,7259,No,Unf,884.0
729,1999,GLQ,1458,440,3230,No,Unf,729.0
1092,1962,LwQ,1092,288,11616,No,Unf,0.0
1125,2006,Unf,1125,430,8536,No,Unf,0.0
1673,1990,GLQ,3222,594,12376,Mn,Unf,1523.0
728,2005,Unf,1456,390,8461,No,Fin,728.0
938,1969,ALQ,988,540,21453,Gd,Unf,0.0
732,1939,Unf,1123,264,6060,No,Unf,351.0
1080,1958,BLQ,1080,288,9464,No,Unf,0.0
1199,1993,GLQ,1199,530,7892,No,RFn,0.0
1362,1979,,1586,435,17043,No,Unf,0.0
520,1935,GLQ,754,0,6780,Av,,0.0
1078,1976,ALQ,958,440,4928,No,RFn,
672,1930,LwQ,840,0,4388,No,None,0.0
660,1966,BLQ,1348,453,7590,No,RFn,688.0
1008,1958,Rec,1053,750,8973,No,RFn,
924,1966,Rec,2157,487,14200,No,,941.0
992,2000,GLQ,2054,390,12224,No,RFn,1032.0
1063,1959,Rec,1327,624,7388,No,Unf,0.0
1267,2001,GLQ,1296,471,6853,No,Fin,0.0
1461,1968,Rec,1721,440,10335,No,RFn,0.0
1304,1970,Unf,1682,530,10400,No,Unf,0.0
1214,1967,BLQ,1214,318,10355,No,RFn,
1907,1988,Unf,1959,766,11070,No,Unf,0.0
1004,1999,GLQ,1852,660,9066,Mn,Fin,848.0
928,1997,GLQ,1764,470,15426,No,RFn,836.0
864,1971,ALQ,864,0,10500,No,None,0.0
1734,2005,GLQ,1734,660,11645,Av,,0.0
910,1952,Rec,1385,720,8520,No,Unf,
1490,1999,GLQ,1501,577,10335,Gd,RFn,0.0
1728,1963,Rec,1728,504,9100,No,Unf,0.0
970,2004,Unf,1709,380,2522,No,Unf,739.0
715,1931,BLQ,875,180,6120,No,Unf,0.0
884,2001,Unf,2035,434,9505,No,Fin,1151.0
1080,2004,GLQ,1080,0,7500,No,None,0.0
896,1936,Unf,1344,240,6240,No,,448.0
969,1975,BLQ,969,440,10356,Av,Unf,0.0
1710,2007,,1710,866,13891,Gd,RFn,0.0
825,1971,Rec,1993,495,14803,No,RFn,896.0
1602,1960,BLQ,1252,564,13500,Gd,RFn,0.0
1200,1923,Unf,1200,312,11340,No,Unf,0.0
572,1924,Unf,1096,0,9600,No,None,524.0
0,1950,None,1040,625,7200,None,Unf,0.0
774,2009,,1968,680,12003,No,Fin,1194.0
991,2004,GLQ,1947,678,12552,No,RFn,956.0
1392,2005,GLQ,2462,576,19378,Mn,RFn,1070.0
1232,1984,BLQ,1232,516,11120,No,Unf,0.0
1572,2003,GLQ,2668,726,13688,Av,Fin,1096.0
1541,2005,,1541,532,12182,Mn,,0.0
882,1956,Unf,882,0,5500,No,None,0.0
1149,1926,LwQ,1616,216,5400,Mn,Unf,467.0
644,1940,ALQ,1355,0,10106,No,None,547.0
1617,1955,LwQ,1867,303,10708,No,Fin,0.0
1582,2007,GLQ,2161,789,10562,No,Fin,551.0
840,2004,Unf,1720,440,8244,No,Fin,880.0
1686,1981,Unf,1707,511,16669,No,RFn,0.0
720,1941,Rec,1382,660,12358,No,,0.0
1080,1960,BLQ,1656,528,31770,Gd,Fin,0.0
1064,1987,GLQ,1767,504,5306,No,RFn,703.0
1362,1961,ALQ,1362,504,10197,No,,0.0
1606,1986,ALQ,1651,616,12416,No,Fin,0.0
1202,1950,ALQ,2158,576,12615,Av,Unf,0.0
1151,1988,GLQ,2060,521,10029,No,,896.0
1052,1958,ALQ,1920,451,13650,No,Unf,668.0
2216,2008,GLQ,2234,1166,17423,No,Fin,0.0
968,1923,Unf,968,480,8520,No,Unf,0.0
756,2000,GLQ,1525,440,2117,No,Unf,756.0
793,1920,LwQ,1802,216,7588,No,Unf,901.0
0,1957,,1340,252,9060,None,,0.0
1362,2003,Unf,2082,484,11426,No,Unf,720.0
504,1908,Unf,1252,576,7438,No,Unf,316.0
1107,1892,Unf,3608,840,22950,Mn,Unf,1518.0
1188,1990,GLQ,1217,497,9947,Av,Unf,0.0
660,1916,Unf,1656,180,10410,No,Unf,704.0
1086,1979,GLQ,1224,528,7018,Av,Unf,0.0
1593,2001,GLQ,1593,682,4923,Av,Fin,0.0
853,1932,Rec,2727,440,10570,No,Unf,1178.0
725,1972,ALQ,1479,484,7472,No,Fin,754.0
1431,1999,GLQ,1431,666,9017,Av,Fin,0.0
970,2004,Unf,1709,380,2522,No,Unf,739.0
864,1972,ALQ,864,352,7180,Av,Unf,0.0
855,1976,ALQ,1456,440,2280,No,,
1726,2007,,1726,786,9416,No,,0.0
1360,1918,,3112,795,25419,No,Unf,1360.0
755,1912,Unf,2229,0,5520,No,None,929.0
1713,2004,GLQ,1713,856,9591,Av,Fin,0.0
1121,2003,Unf,1121,440,8546,No,RFn,0.0
1196,1977,ALQ,1279,473,10125,No,Unf,0.0
617,1924,LwQ,1310,398,7000,No,Unf,445.0
848,2004,GLQ,848,420,4438,Av,RFn,0.0
720,1947,LwQ,1284,240,3500,No,Unf,564.0
1424,1990,Unf,1442,500,11851,No,,0.0
1140,1962,Unf,1696,349,13673,No,,0.0
1100,1960,ALQ,1100,312,12493,No,RFn,0.0
1157,1988,GLQ,2062,454,14364,Gd,,
1092,1964,Rec,1092,504,8250,No,RFn,0.0
864,1925,Rec,864,0,5604,No,None,0.0
1212,2009,GLQ,1212,460,10420,Mn,RFn,0.0
900,2009,GLQ,1852,644,8640,No,RFn,920.0
990,1995,ALQ,990,576,13568,No,Unf,0.0
689,1977,GLQ,1392,299,10900,No,Fin,703.0
1070,1957,BLQ,1236,447,10011,No,Unf,0.0
1436,2004,GLQ,1436,484,8450,Mn,,0.0
686,1925,Unf,1328,210,9906,No,Unf,518.0
798,1939,BLQ,1954,431,15660,No,,817.0
1248,2005,GLQ,1248,438,3010,Av,Fin,0.0
1498,2006,Unf,1498,675,8990,Mn,,0.0
1010,2002,Unf,2267,390,8068,No,RFn,1257.0
713,1975,ALQ,1552,434,11475,No,RFn,741.0
864,1971,ALQ,864,576,10500,No,Unf,0.0
2392,2003,GLQ,2392,968,13472,Gd,Fin,0.0
630,1971,Unf,1302,280,1680,No,Unf,672.0
1203,1995,GLQ,2520,721,9950,No,,1306.0
483,1970,Rec,987,280,1869,No,Unf,504.0
912,1967,ALQ,912,336,8521,No,Unf,0.0
1373,2005,GLQ,1555,430,3182,Av,Fin,0.0
1194,1959,Unf,1194,312,8760,No,RFn,0.0
1462,1995,,2794,810,15138,No,Fin,1304.0
483,1972,Unf,987,288,1680,No,Unf,504.0
894,1976,LwQ,894,308,10650,Av,Unf,0.0
860,2002,GLQ,1960,440,7851,No,Fin,1100.0
483,1971,ALQ,987,264,1680,No,Unf,
1414,2004,GLQ,1414,494,8773,Av,RFn,0.0
996,1993,BLQ,1744,457,9453,No,RFn,730.0
1694,2007,Unf,1694,818,12030,No,Fin,0.0
735,1945,LwQ,1487,220,8741,No,Unf,
1566,2008,GLQ,1566,750,9000,Av,RFn,0.0
686,1945,ALQ,866,0,3880,No,None,
540,1900,Unf,1440,352,5000,No,Unf,551.0
626,1980,,1217,288,10762,No,RFn,591.0
948,1994,GLQ,2110,463,8880,No,RFn,888.0
1845,1988,GLQ,1872,604,10400,Av,,
1020,1910,Unf,1928,440,9142,No,Unf,1020.0
1367,1954,Unf,1375,451,11310,No,Unf,0.0
840,2003,,1668,500,11317,No,RFn,828.0
1444,1958,Rec,2144,389,159000,Gd,Fin,700.0
728,1940,Unf,1306,0,5350,No,None,0.0
1573,2006,,1625,538,4750,Gd,,0.0
798,2004,Unf,1640,520,8366,No,RFn,842.0
1302,1964,LwQ,1302,309,9350,Gd,RFn,0.0
1314,1957,Rec,1314,294,8400,No,RFn,0.0
975,1999,Unf,2291,429,8738,No,Fin,1286.0
864,2003,Rec,1728,673,8791,No,RFn,864.0
1604,2006,GLQ,1604,660,8814,No,RFn,0.0
963,2001,GLQ,1792,564,12435,No,RFn,829.0
0,1956,None,882,308,12702,None,Unf,0.0
1362,1962,Rec,1382,884,19296,Gd,Unf,0.0
1482,2007,Unf,2574,868,9588,No,Fin,1092.0
506,1977,ALQ,1212,492,8471,Av,Unf,0.0
926,1929,LwQ,1316,484,5500,No,Unf,0.0
680,1925,Unf,764,504,5232,No,Unf,0.0
1422,1981,,1422,576,12090,No,Fin,0.0
802,1997,GLQ,1511,413,11207,Av,Fin,709.0
720,1939,,2192,240,8400,No,,720.0
740,1940,ALQ,778,924,6900,No,,0.0
1143,1976,BLQ,1113,504,7917,No,RFn,0.0
1095,2006,Unf,1939,1053,10728,Mn,RFn,844.0
1385,1954,LwQ,1363,439,39104,Gd,Unf,0.0
1152,1999,GLQ,2270,671,11764,No,Fin,1106.0
1240,1958,Rec,1632,338,9600,No,RFn,0.0
816,1982,ALQ,816,264,8314,Gd,Unf,0.0
952,1925,Unf,1548,672,7264,No,,596.0
1560,2003,Unf,1560,573,9196,No,Fin,0.0
864,1951,LwQ,864,400,19138,No,Unf,0.0
2121,2006,Unf,2121,732,14450,Gd,Fin,0.0
1160,1977,BLQ,2022,505,10005,No,Fin,866.0
807,1989,GLQ,1982,575,11287,Av,,807.0
1262,2006,GLQ,1262,572,7200,No,,0.0
1314,2007,GLQ,1314,626,5063,No,RFn,0.0
1468,2008,Unf,1468,898,9612,No,Fin,0.0
1575,1992,GLQ,1575,529,8012,No,RFn,0.0
625,2006,Unf,1250,528,4251,No,RFn,625.0
912,1962,Rec,1734,440,9786,No,,649.0
858,1971,BLQ,858,0,8125,No,None,
882,1967,BLQ,900,280,9819,No,Unf,0.0
698,1915,Unf,1396,384,8730,No,Unf,698.0
1079,2006,Unf,1919,685,15611,Av,RFn,840.0
780,1912,,1716,0,5687,No,None,780.0
768,1949,LwQ,1716,281,11409,No,Unf,568.0
795,1977,ALQ,2263,539,16659,No,Fin,795.0
1416,1953,GLQ,1644,418,9600,No,Fin,0.0
1003,1984,GLQ,1003,588,7937,Av,,0.0
910,1950,BLQ,1558,282,13710,No,Unf,648.0
975,1997,,1950,576,7399,No,RFn,975.0
702,1968,ALQ,1743,539,11700,No,Unf,702.0
1092,1950,Unf,1152,300,14000,No,Unf,0.0
1165,1953,BLQ,1336,375,15750,Mn,Unf,0.0
1028,1998,,2452,683,16226,No,Fin,1242.0
1541,2001,Unf,1541,843,13704,No,RFn,0.0
894,1972,ALQ,894,552,9800,No,Unf,0.0
1470,1880,Unf,3493,870,18386,No,Unf,1818.0
2000,2004,GLQ,2000,888,10386,No,,0.0
700,1990,ALQ,2243,746,13474,No,RFn,1121.0
319,1920,Unf,1406,0,7920,No,None,371.0
861,1940,BLQ,861,539,12342,No,,0.0
1896,2003,,1944,708,12378,Gd,Fin,0.0
697,1993,ALQ,1501,420,7685,No,Fin,804.0
972,1948,ALQ,972,240,8000,No,Unf,0.0
793,1939,Rec,1118,410,7800,Mn,Unf,325.0
2136,1965,ALQ,2036,513,215245,Gd,RFn,0.0
728,1925,LwQ,1641,546,9600,No,Unf,809.0
716,2004,,1432,432,7795,No,Fin,716.0
845,1980,GLQ,2353,484,13005,No,RFn,
1088,2006,Unf,1959,1025,9000,Av,RFn,871.0
1347,1993,GLQ,2646,656,9900,Gd,RFn,1274.0
1372,1980,GLQ,1472,588,14115,Av,Unf,0.0
1249,2006,Unf,2596,840,16259,Av,RFn,1347.0
1136,2004,GLQ,2468,872,12099,Av,,1332.0
1502,1986,LwQ,2730,576,10380,Gd,,1177.0
1162,1955,ALQ,1163,220,5820,No,Unf,0.0
710,1967,Unf,2978,564,11275,No,Fin,1080.0
720,1941,BLQ,803,360,5000,Av,Unf,0.0
1719,1993,GLQ,1719,473,10846,Gd,Fin,0.0
1383,1960,Rec,1383,292,11600,No,,0.0
844,1916,Unf,2134,441,11888,No,Unf,689.0
596,1920,Unf,1192,189,6402,Mn,Unf,596.0
1728,1964,GLQ,1728,352,10624,No,Unf,
1056,1958,Rec,1056,308,8176,No,RFn,0.0
3206,2003,GLQ,1629,880,10655,No,,0.0
1358,2004,GLQ,1358,484,8198,Av,RFn,0.0
943,1998,GLQ,1638,472,9042,Gd,Fin,
1499,1965,,1786,529,164660,Gd,Fin,167.0
1922,2005,GLQ,1922,676,14157,Gd,Fin,0.0
1536,2002,GLQ,1536,532,9135,Av,RFn,0.0
1208,1984,ALQ,1621,440,14145,Mn,,0.0
1215,1958,Rec,1215,297,12400,No,Unf,0.0
967,2002,Unf,1908,431,14191,No,Fin,915.0
721,1950,Unf,841,294,8400,No,Unf,
0,1949,None,1040,400,8544,None,Unf,0.0
1684,2005,GLQ,1684,564,8849,No,RFn,0.0
536,1976,Rec,1112,336,2592,No,Unf,576.0
972,1939,Unf,1577,312,6435,No,Unf,605.0
958,1960,BLQ,958,301,12772,Mn,RFn,0.0
1478,1960,BLQ,1478,498,17600,No,Unf,0.0
764,2003,GLQ,1626,474,2448,No,RFn,862.0
1848,2005,GLQ,2728,706,20431,No,Fin,880.0
1869,2007,Unf,1869,617,7820,No,RFn,0.0
1453,1986,GLQ,1453,445,5271,Gd,RFn,0.0
616,1941,LwQ,1111,200,9084,Mn,Unf,495.0
624,1928,Unf,720,484,8520,No,Unf,0.0
940,1940,LwQ,1595,240,8400,No,Unf,403.0
1200,1995,ALQ,1200,521,11249,No,RFn,0.0
1158,1992,GLQ,1167,400,9248,No,RFn,0.0
1142,1976,ALQ,1142,528,4224,No,Fin,0.0
1062,1958,BLQ,1352,288,6930,Av,Unf,0.0
1086,1998,GLQ,1924,592,12011,Av,RFn,838.0
888,1978,GLQ,912,470,7540,Av,RFn,
883,1940,Rec,1505,240,9144,No,,517.0
0,2003,,1922,672,7301,None,RFn,1427.0
483,1972,ALQ,987,264,1680,No,Unf,504.0
796,1976,GLQ,1574,566,18800,Mn,Fin,784.0
672,1920,Rec,1344,468,10690,No,Unf,672.0
1394,1963,BLQ,1394,514,9500,No,RFn,0.0
1099,1962,GLQ,1431,296,9150,Gd,RFn,0.0
1268,1954,LwQ,1268,244,7800,No,Fin,0.0
1063,1959,ALQ,1287,576,9830,No,Fin,0.0
953,2000,Unf,1664,460,8121,No,RFn,711.0
0,1959,None,1588,680,17120,None,Fin,468.0
744,1984,ALQ,752,264,7175,No,Unf,0.0
608,1953,BLQ,1319,270,10634,No,Unf,0.0
847,2003,,1928,434,8200,No,Fin,1081.0
683,1922,BLQ,904,0,10020,Gd,None,0.0
870,1996,GLQ,914,576,8846,Av,Unf,0.0
1580,2004,Unf,2466,610,11143,No,RFn,886.0
1856,2010,GLQ,1856,834,11394,Av,Fin,0.0
982,2000,Unf,1800,463,8123,No,Fin,793.0
1026,1924,LwQ,1691,308,5000,No,Unf,665.0
1293,2006,Unf,1301,572,7200,No,RFn,0.0
939,2006,Unf,1797,639,9245,Av,,858.0
784,1928,Unf,784,360,9000,No,Unf,0.0
1580,1992,GLQ,1953,501,53107,Av,Fin,874.0
1256,2004,GLQ,1269,430,3182,No,Fin,0.0
658,1910,Unf,1184,0,8410,No,None,526.0
1041,1976,ALQ,1125,352,7200,Av,Unf,0.0
1468,1999,Unf,1479,577,9382,No,RFn,0.0
1682,2007,GLQ,2332,846,12474,Av,Fin,590.0
861,1900,Rec,1367,384,8405,No,Unf,406.0
804,2001,ALQ,1961,560,12209,No,Fin,1157.0
0,1959,None,882,294,8339,None,RFn,0.0
788,1941,Rec,788,0,7446,No,None,0.0
735,1940,,1034,240,10134,No,Unf,299.0
1144,1956,BLQ,1144,596,9571,Av,Unf,
894,1972,Rec,894,600,7200,Av,RFn,0.0
864,1962,ALQ,1812,264,7590,No,RFn,936.0
961,1920,Unf,1077,338,8967,No,Unf,0.0
1092,2006,GLQ,1550,438,8125,No,Fin,438.0
1260,1996,GLQ,1288,500,14963,No,Fin,0.0
1310,2005,GLQ,1310,400,8767,Av,Fin,0.0
672,1940,Unf,672,240,10200,No,Unf,0.0
1141,1998,Unf,2263,420,12090,No,Fin,
806,1995,Unf,1572,373,10364,No,Fin,766.0
1281,1976,BLQ,1620,490,9991,No,Unf,0.0
1064,1936,Unf,1639,240,10480,No,Unf,0.0
840,1915,Unf,1680,308,15576,No,,840.0
1063,2006,Unf,2172,947,14154,No,RFn,1101.0
1034,2007,GLQ,2078,836,10800,No,Fin,1028.0
1276,1958,Unf,1276,350,9571,No,Unf,0.0
1056,1955,Rec,1056,572,34650,Mn,Fin,0.0
1470,2009,GLQ,1478,484,4403,Av,Fin,0.0
1008,1927,Unf,1028,360,8960,No,Unf,
1080,1993,BLQ,2097,678,11228,No,,1017.0
1340,2007,GLQ,1340,396,8899,Av,Fin,0.0
672,1978,ALQ,1400,440,7844,No,Fin,728.0
1370,1918,BLQ,2624,864,22420,No,Unf,1254.0
756,1940,ALQ,1134,240,8160,No,Unf,378.0
1056,1968,BLQ,1056,304,8450,No,Unf,0.0
1344,1997,GLQ,1344,784,7060,Gd,Fin,0.0
1602,1977,ALQ,1602,529,16635,No,Fin,0.0
988,1954,,988,520,21750,No,RFn,0.0
1470,1998,GLQ,2630,696,9200,No,,
1196,1956,LwQ,1196,297,9000,No,RFn,0.0
651,1946,Unf,1389,240,3378,No,Unf,682.0
1518,1989,GLQ,1644,569,12800,Gd,Fin,0.0
907,1957,Rec,907,352,8593,No,Unf,0.0
1208,2007,GLQ,1208,628,6762,No,RFn,
1392,1988,GLQ,1412,576,11457,Mn,Unf,0.0
483,1971,ALQ,987,264,1680,No,Unf,504.0
901,1920,,1198,0,5586,No,,110.0
765,1971,ALQ,1365,440,1920,No,Unf,600.0
926,1997,Unf,1604,470,10839,No,Fin,678.0
630,1972,ALQ,630,0,1890,Av,None,0.0
799,1996,GLQ,1661,550,10667,Av,RFn,834.0
648,1920,Unf,1118,440,4400,No,,
884,1926,Unf,904,180,6000,No,Unf,0.0
440,1913,LwQ,694,352,4280,No,Unf,0.0
684,1920,Unf,1196,528,12354,Mn,Unf,512.0
3094,2008,GLQ,2402,672,15431,Gd,Fin,0.0
1440,1955,ALQ,1440,0,12108,No,None,0.0
1078,1930,Unf,1573,360,6240,No,Unf,445.0
1258,2006,Unf,1258,648,3922,Av,Fin,0.0
915,1994,GLQ,1908,493,8750,No,Unf,975.0
1436,1956,Unf,1689,480,9855,No,Unf,0.0
1517,1966,,1888,578,16492,No,Fin,0.0
930,1998,Unf,1886,431,11214,No,Fin,930.0
780,1937,Unf,1376,198,8600,No,Unf,596.0
649,1948,ALQ,1183,308,6000,No,Unf,504.0
813,1930,Unf,813,270,5684,No,Unf,0.0
1533,1975,ALQ,1533,576,70761,Gd,Unf,0.0
872,1996,ALQ,1756,422,9303,No,Fin,868.0
768,2008,Unf,1590,676,9000,No,RFn,
1728,1976,ALQ,1728,560,9297,No,Unf,0.0
1242,1973,ALQ,1242,528,9600,No,Unf,0.0
624,1916,Unf,1344,513,4571,No,Unf,720.0
1364,1954,BLQ,1663,529,53227,Gd,,0.0
588,1925,Unf,1666,228,5100,No,Unf,833.0
709,1950,LwQ,1203,352,7015,No,Unf,224.0
832,2009,GLQ,1935,552,8004,No,Fin,1103.0
560,1936,ALQ,1135,576,7200,No,RFn,560.0
864,1965,Rec,864,360,8281,No,Unf,0.0
715,1934,LwQ,1660,240,11988,No,Unf,811.0
1040,1978,Rec,1040,0,8430,No,None,0.0
1375,2004,Unf,1414,398,3072,No,Fin,0.0
1277,1970,GLQ,1277,526,10628,Gd,Unf,0.0
728,1942,LwQ,1644,312,9480,No,Unf,
1626,2006,Unf,1634,866,11428,No,,0.0
832,1993,GLQ,1710,506,9291,No,RFn,878.0
1488,1985,GLQ,1502,528,6820,Av,RFn,0.0
808,1977,Unf,1969,534,11952,No,RFn,808.0
547,2005,,1072,525,3675,Gd,,0.0
1976,2006,,1976,908,14977,Gd,RFn,0.0
1494,2000,GLQ,1652,499,5330,Av,RFn,0.0
970,1963,GLQ,970,624,8480,No,Unf,0.0
1478,1997,GLQ,1493,508,13125,Gd,Fin,0.0
2153,2006,Unf,2643,694,13693,Av,Fin,574.0
1705,2007,GLQ,1718,826,10637,Gd,RFn,0.0
907,1937,Rec,1131,672,5925,No,Unf,0.0
1833,2004,GLQ,1850,772,16033,Gd,Fin,0.0
1792,2003,GLQ,1792,874,11846,Gd,Fin,0.0
910,1915,ALQ,1826,164,2500,No,Unf,
1216,1998,GLQ,1216,402,4500,No,Unf,
999,1962,ALQ,999,264,7758,No,Unf,0.0
1113,1950,ALQ,1113,264,9600,No,Unf,0.0
1073,1965,ALQ,1073,515,10289,No,RFn,0.0
1484,1971,ALQ,1484,487,12243,Av,Unf,0.0
954,1900,BLQ,2414,520,10800,No,,648.0
630,1970,GLQ,630,286,1526,Av,Unf,0.0
264,1976,Unf,1304,336,2665,Mn,Fin,688.0
806,1941,BLQ,1578,240,9490,No,Unf,620.0
728,2006,Unf,1456,429,15578,No,RFn,728.0
1269,1960,BLQ,1269,308,7931,No,Unf,0.0
190,1938,Unf,886,273,5784,No,Unf,0.0
720,1920,Rec,720,0,7879,No,None,0.0
3200,1992,GLQ,3228,546,12692,No,,0.0
1026,1925,Rec,1820,240,9120,No,Unf,687.0
864,1967,ALQ,899,288,7800,No,Fin,0.0
912,1958,BLQ,912,297,7535,No,Fin,0.0
672,1973,BLQ,1218,264,1890,No,Unf,546.0
866,2005,GLQ,1768,603,9803,No,RFn,902.0
1214,1965,ALQ,1214,461,9170,No,Unf,0.0
