GarageArea,LotArea,1stFlrSF,BsmtUnfSF,GrLivArea,LotFrontage,BsmtFinSF1,TotalBsmtSF,OpenPorchSF,2ndFlrSF
752,12257,1328,1198,2531,65.0,56,1318,98,1203.0
240,7200,981,162,1768,60.0,569,731,0,787.0
538,4750,1625,0,1625,44.0,1573,1573,0,0.0
389,159000,1444,747,2144,69.0,697,1444,98,700.0
880,13500,1521,1237,2775,75.0,0,1237,502,0.0
477,12090,1140,585,1868,78.0,0,585,112,728.0
541,9100,1525,125,1525,70.0,1400,1525,36,0.0
722,10991,1571,1571,1571,89.0,0,1571,36,0.0
0,8777,796,796,796,67.0,0,796,0,0.0
432,6600,1378,994,2372,60.0,0,994,287,994.0
402,10784,802,384,1472,69.0,0,384,0,670.0
364,10246,960,0,960,69.0,648,648,0,0.0
372,21930,734,732,1838,60.0,0,732,40,1104.0
484,10140,1309,0,1309,78.0,663,1040,0,0.0
694,13693,2069,2153,2643,105.0,0,2153,84,574.0
200,5720,676,676,1131,52.0,0,676,0,455.0
400,7596,960,960,1960,60.0,0,960,0,1000.0
336,9204,1144,247,1144,71.0,25,1144,88,0.0
576,6979,1056,0,1056,64.0,1056,1056,56,0.0
0,4118,693,693,693,153.0,0,693,20,0.0
576,9236,1494,279,1494,79.0,1200,1479,27,0.0
482,3842,1646,221,1646,44.0,1373,1594,53,0.0
352,7180,864,474,864,60.0,390,864,0,0.0
750,9000,1566,488,1566,75.0,1078,1566,168,0.0
497,12936,735,130,1395,69.0,593,723,116,660.0
539,6240,848,628,1208,52.0,152,780,23,0.0
180,6120,939,939,1513,51.0,0,939,0,574.0
560,6240,959,459,1367,52.0,425,884,0,408.0
386,7742,955,192,955,66.0,763,955,0,0.0
210,9786,1077,1007,1077,60.0,0,1007,100,0.0
572,34650,1056,0,1056,100.0,1056,1056,0,0.0
615,8125,756,756,1553,65.0,0,756,45,797.0
865,11210,1614,1594,1614,86.0,20,1614,59,0.0
1390,12704,2042,2042,2042,98.0,0,2042,90,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
240,8635,1072,295,1285,50.0,336,672,0,213.0
550,12925,2117,340,2117,69.0,865,1205,42,0.0
0,9098,605,180,605,58.0,348,528,0,0.0
300,7945,1150,465,1150,70.0,179,1150,0,0.0
400,8029,728,728,1456,51.0,0,728,24,728.0
588,12122,999,77,999,69.0,867,944,76,0.0
564,8846,750,750,1500,68.0,0,750,35,750.0
375,15750,1336,324,1336,90.0,841,1165,0,0.0
398,7415,864,80,1593,62.0,759,839,75,729.0
836,11308,1130,168,2184,96.0,936,1104,102,1054.0
573,9196,1560,1560,1560,129.0,0,1560,150,0.0
312,9480,888,342,1644,79.0,386,728,0,0.0
286,1526,630,115,630,21.0,515,630,0,0.0
504,7917,1113,392,1113,69.0,751,1143,30,0.0
947,14154,1071,1063,2172,109.0,0,1063,62,1101.0
384,11767,796,560,1346,70.0,0,560,24,550.0
550,9000,1184,1120,2610,75.0,64,1184,364,1426.0
936,10625,1026,1026,1958,85.0,0,1026,210,932.0
898,9612,1468,1468,1468,74.0,0,1468,150,0.0
539,10125,1302,0,1734,75.0,0,0,0,432.0
240,11767,768,416,1200,70.0,352,768,0,432.0
438,8125,1112,280,1550,65.0,812,1092,168,438.0
440,6204,954,795,2230,60.0,0,795,188,795.0
240,10480,1166,1064,1639,51.0,0,1064,0,0.0
624,9100,864,169,864,70.0,521,864,0,0.0
440,14145,1621,995,1621,91.0,213,1208,45,0.0
264,1680,483,321,987,21.0,162,483,0,504.0
628,26178,1238,245,2519,42.0,965,1210,27,1281.0
440,2368,765,0,1365,24.0,765,765,36,600.0
779,11250,1149,1128,2290,69.0,0,1128,0,1141.0
840,16259,1249,1249,2596,111.0,0,1249,154,1347.0
352,8593,907,619,907,77.0,288,907,0,0.0
440,2280,855,289,1456,24.0,566,855,0,0.0
540,7728,1190,303,1190,70.0,803,1106,18,0.0
684,7340,858,536,858,69.0,322,858,0,0.0
516,13651,2223,343,2223,95.0,1880,2223,0,0.0
672,10434,1005,1005,1005,60.0,0,1005,0,0.0
409,10832,1086,712,1895,69.0,0,712,46,809.0
384,11200,1040,134,1040,70.0,906,1040,0,0.0
461,9300,1264,571,1264,73.0,697,1268,0,0.0
578,10207,874,874,1761,84.0,0,874,105,887.0
888,12328,1034,473,1034,69.0,539,1012,0,0.0
439,39104,1363,96,1363,73.0,226,1385,0,0.0
480,9855,1689,1436,1689,73.0,0,1436,0,0.0
839,10437,2113,413,2113,91.0,1696,2109,46,0.0
544,9808,1573,785,1573,67.0,788,1573,72,0.0
820,12919,2364,142,2364,100.0,2188,2330,67,0.0
645,9375,1057,318,2034,69.0,739,1057,36,977.0
431,2887,1291,288,1291,69.0,1003,1291,0,0.0
0,7207,858,162,858,50.0,696,858,0,0.0
280,9060,698,356,1258,60.0,204,560,0,560.0
246,8400,438,0,438,60.0,290,290,0,0.0
440,7844,672,463,1400,74.0,209,672,0,728.0
240,6305,954,920,954,50.0,0,920,0,0.0
645,12095,1445,563,1445,69.0,564,1127,0,0.0
525,3675,1072,88,1072,35.0,459,547,28,0.0
0,9825,1664,0,1664,75.0,0,0,0,0.0
441,11888,1445,844,2134,69.0,0,844,60,689.0
380,12168,1940,537,3194,78.0,428,965,0,1254.0
0,9400,912,912,1824,94.0,0,912,0,912.0
422,9303,888,130,1756,69.0,742,872,122,868.0
576,8872,912,317,912,72.0,595,912,240,0.0
600,10200,1509,678,1509,85.0,783,1461,0,0.0
216,6171,1160,712,1608,51.0,264,976,16,448.0
397,10237,1316,1288,1316,65.0,28,1316,0,0.0
450,6120,1015,279,1015,51.0,489,768,0,0.0
240,8160,756,444,1134,60.0,312,756,0,378.0
865,13501,1636,1560,1636,116.0,63,1623,60,0.0
400,7750,660,660,1320,69.0,0,660,48,660.0
538,28698,1160,0,2126,69.0,249,1013,0,966.0
525,8700,1128,344,1128,80.0,776,1120,20,0.0
756,8712,1306,132,1306,64.0,860,992,0,0.0
0,1533,798,546,1344,21.0,0,546,0,546.0
704,10800,1576,718,2554,60.0,0,718,48,978.0
576,9600,893,625,893,60.0,220,845,0,0.0
668,14598,894,894,1933,86.0,0,894,18,1039.0
264,1890,672,316,1218,21.0,356,672,28,546.0
534,11952,1161,808,1969,92.0,0,808,0,808.0
556,10000,1220,141,2090,80.0,1079,1220,65,870.0
487,12243,1484,486,1484,70.0,998,1484,0,0.0
506,9246,1656,1656,1656,87.0,0,1656,211,0.0
210,3950,818,350,1224,69.0,468,818,0,406.0
390,12224,1022,297,2054,69.0,695,992,48,1032.0
576,6120,854,832,854,51.0,0,832,112,0.0
286,1974,546,212,1092,69.0,334,546,96,546.0
252,9286,1268,1072,1268,69.0,196,1268,0,0.0
550,10667,827,70,1661,43.0,385,799,61,834.0
502,10635,1668,315,1668,48.0,370,1657,262,0.0
508,13125,1493,484,1493,75.0,994,1478,39,0.0
306,8280,932,932,932,57.0,0,932,0,0.0
526,10628,1277,499,1277,85.0,778,1277,0,0.0
630,14572,1530,230,1530,182.0,1300,1530,36,0.0
484,9503,1344,193,1344,69.0,457,1024,28,0.0
528,8740,860,168,860,74.0,672,840,0,0.0
626,5001,1314,410,1314,34.0,904,1314,62,0.0
868,8760,1391,927,1962,73.0,464,1391,90,571.0
388,15384,788,64,1490,60.0,724,788,75,702.0
420,4426,848,186,848,69.0,662,848,0,0.0
240,10200,672,672,672,60.0,0,672,0,0.0
252,9042,1188,877,2340,66.0,275,1152,60,1152.0
180,10410,808,660,1656,60.0,0,660,0,704.0
484,7472,725,99,1479,69.0,626,725,32,754.0
740,10402,1226,1226,1226,94.0,0,1226,36,0.0
444,12205,976,264,2087,69.0,568,832,168,1111.0
576,13072,1158,217,1158,63.0,941,1158,50,0.0
480,11000,1154,184,1154,69.0,740,1154,58,0.0
527,8924,880,880,1724,57.0,0,880,155,844.0
431,8000,773,554,1658,69.0,219,773,84,885.0
520,8777,1126,0,1126,67.0,0,0,96,0.0
300,16466,872,816,1393,59.0,0,816,0,521.0
1014,14100,1968,536,3447,69.0,192,728,12,1479.0
264,1953,483,174,987,21.0,309,483,0,504.0
0,10106,808,112,1355,62.0,351,644,0,547.0
505,27650,2069,160,2069,313.0,425,585,0,0.0
440,2280,757,195,1501,24.0,549,744,0,0.0
908,14977,1976,626,1976,110.0,1350,1976,63,0.0
758,10206,1563,1530,1563,78.0,33,1563,99,0.0
288,5700,572,572,1111,69.0,0,572,0,539.0
270,7200,851,776,1502,60.0,0,776,0,651.0
452,13680,1733,0,1733,69.0,0,0,0,0.0
706,20431,1848,438,2728,56.0,1410,1848,0,880.0
264,1680,630,399,1302,21.0,231,630,0,672.0
586,23595,1332,74,1524,69.0,1258,1332,0,192.0
680,17120,1120,0,1588,80.0,0,0,59,468.0
430,8536,1125,1125,1125,74.0,0,1125,64,0.0
480,3180,520,600,1200,30.0,0,600,166,600.0
520,8366,798,798,1640,65.0,0,798,45,842.0
525,10944,1223,223,2127,81.0,1000,1223,132,904.0
240,8000,972,292,972,50.0,680,972,0,0.0
466,9828,1142,544,2020,80.0,584,1128,155,878.0
596,9571,1144,405,1144,68.0,739,1144,0,0.0
288,6930,1352,468,1352,92.0,300,1062,0,0.0
484,5500,926,0,1316,50.0,234,926,0,0.0
592,12011,1086,130,1924,78.0,956,1086,75,838.0
240,10880,1164,124,1164,68.0,1040,1164,48,0.0
840,7350,952,100,952,60.0,852,952,0,0.0
0,5250,938,425,2358,50.0,259,684,54,1215.0
540,21695,1680,72,1680,69.0,808,880,44,0.0
672,10800,1221,482,1912,60.0,0,482,25,691.0
480,11241,1004,426,1004,69.0,578,1004,0,0.0
305,4712,774,363,1230,51.0,384,747,57,456.0
495,8731,1167,270,1167,98.0,645,915,0,0.0
440,6911,1301,740,1301,60.0,405,1145,0,0.0
445,5271,1453,371,1453,69.0,1082,1453,80,0.0
670,11423,1601,223,1601,69.0,1358,1581,0,0.0
825,10000,1588,1588,1588,85.0,0,1588,45,0.0
264,10382,1095,75,1095,75.0,513,588,0,0.0
368,10659,1050,135,1050,69.0,915,1050,319,0.0
432,10921,960,440,960,73.0,520,960,0,0.0
280,7585,1002,810,1456,50.0,0,810,0,454.0
462,9156,1489,1489,1489,69.0,0,1489,0,0.0
786,9416,1726,600,1726,79.0,1126,1726,138,0.0
484,11426,1362,1362,2082,63.0,0,1362,238,720.0
484,8049,1339,256,1339,50.0,1053,1309,58,0.0
1069,16545,1310,503,2450,69.0,781,1284,126,1140.0
660,14054,879,879,1863,58.0,0,879,17,984.0
396,8445,768,112,768,70.0,656,768,0,0.0
0,5000,334,0,334,50.0,0,0,0,0.0
384,9200,1136,244,1136,80.0,892,1136,0,0.0
405,4500,1337,36,1337,32.0,1201,1237,199,0.0
288,7800,912,0,912,66.0,312,912,0,0.0
264,7590,876,324,1812,69.0,540,864,168,936.0
240,8400,1052,342,2192,60.0,378,720,24,720.0
0,8410,658,658,1184,58.0,0,658,151,526.0
308,10120,964,925,1889,60.0,0,925,0,925.0
624,7388,1327,658,1327,75.0,405,1063,0,0.0
576,12090,1422,606,1422,78.0,588,1422,0,0.0
576,25000,1632,1632,1632,100.0,0,1632,0,0.0
451,9750,1630,1630,1630,75.0,0,1630,234,0.0
0,8470,1013,1013,1526,105.0,0,1013,0,0.0
420,7200,1040,0,1040,60.0,0,0,0,0.0
216,6858,841,806,1647,66.0,0,806,66,806.0
576,7804,1328,500,1981,65.0,622,1122,44,653.0
418,9600,1644,131,1644,80.0,1285,1416,0,0.0
868,9588,1482,1482,2574,69.0,0,1482,148,1092.0
520,13515,1060,764,1824,60.0,0,764,0,764.0
520,9020,1350,288,1350,82.0,624,1248,0,0.0
440,4928,958,0,958,69.0,958,958,60,0.0
370,13053,1053,833,1848,64.0,0,833,0,795.0
490,9991,1620,165,1620,69.0,1116,1281,78,0.0
400,9248,1167,598,1167,69.0,560,1158,26,0.0
220,8741,798,641,1487,52.0,94,735,140,0.0
288,7150,892,460,892,65.0,432,892,0,0.0
240,7200,804,278,804,60.0,510,788,0,0.0
0,17217,1140,1140,1140,90.0,0,1140,56,0.0
483,7056,983,380,1796,71.0,400,780,50,813.0
551,12046,1118,692,2030,69.0,156,848,224,912.0
812,11003,1026,252,2007,85.0,765,1017,52,981.0
216,5400,691,691,691,60.0,0,691,20,0.0
676,9000,786,768,1590,75.0,0,768,30,0.0
325,9525,1216,550,1855,75.0,444,994,0,639.0
442,7500,1028,994,1804,60.0,0,994,60,776.0
543,8158,884,334,1768,65.0,550,884,63,884.0
807,35760,1831,543,3627,118.0,1387,1930,76,1796.0
403,11200,1298,40,1298,69.0,1258,1298,26,0.0
484,15602,1801,254,1801,100.0,1247,1501,54,0.0
0,1533,630,77,630,21.0,553,630,0,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
384,8712,859,859,1178,66.0,0,859,0,319.0
440,4800,1196,999,1196,40.0,197,1196,0,0.0
529,8640,1372,1372,1372,72.0,0,1372,140,0.0
296,9150,1431,728,1431,101.0,371,1099,110,0.0
626,8500,1422,1422,1422,63.0,0,1422,60,0.0
501,53107,1079,595,1953,69.0,985,1580,231,874.0
440,8546,1121,1121,1121,80.0,0,1121,64,0.0
852,9591,1143,1143,2473,76.0,0,1143,151,1330.0
576,7420,1057,640,1057,70.0,417,1057,0,0.0
602,9101,1110,0,1110,69.0,1097,1097,30,0.0
671,11764,1164,628,2270,92.0,524,1152,57,1106.0
746,13214,2018,2002,2018,89.0,0,2002,76,0.0
440,11616,672,234,1386,69.0,438,672,0,714.0
1043,10574,1082,1082,1953,85.0,0,1082,50,871.0
462,5395,1337,604,1337,41.0,733,1337,0,0.0
648,11000,997,969,2285,69.0,0,969,56,1288.0
826,10637,1718,417,1718,79.0,1288,1705,44,0.0
484,13400,1086,380,1086,85.0,516,1024,0,0.0
660,3684,1555,1373,1555,53.0,0,1373,20,0.0
567,17500,1902,496,1902,100.0,1406,1902,207,0.0
693,11170,1298,0,2514,69.0,1216,1216,0,1216.0
528,7018,1224,0,1224,64.0,1086,1086,0,0.0
460,9750,1054,14,1054,65.0,602,1054,0,0.0
676,12203,1276,371,2612,98.0,854,1225,0,1336.0
288,6173,902,277,902,69.0,599,876,0,0.0
484,13005,1153,153,2353,94.0,692,845,195,0.0
299,10900,689,311,1392,69.0,378,689,36,703.0
576,11782,1155,210,1155,88.0,899,1109,0,0.0
240,7200,1136,676,1904,60.0,180,1208,0,768.0
208,6000,950,862,1158,50.0,0,862,0,208.0
502,6155,751,611,1362,60.0,0,611,0,611.0
429,8738,1005,975,2291,66.0,0,975,0,1286.0
250,8500,649,649,1317,50.0,0,649,54,668.0
928,12085,1734,730,1734,93.0,1004,1734,0,0.0
312,8760,1194,1194,1194,73.0,0,1194,0,0.0
720,12665,876,876,1416,100.0,0,876,0,540.0
354,13284,1383,319,1383,69.0,1064,1383,116,0.0
871,6270,1001,717,2002,82.0,284,1001,0,1001.0
474,9158,1496,1496,1496,76.0,0,1496,130,0.0
660,10998,984,156,1604,60.0,408,984,68,620.0
504,5232,764,680,764,30.0,0,680,0,0.0
476,9206,977,741,1732,77.0,0,741,46,755.0
840,10652,1494,1494,1494,91.0,0,1494,33,0.0
180,6180,986,960,986,60.0,0,960,128,0.0
397,3182,1145,1129,1145,43.0,16,1145,16,0.0
0,6300,742,742,1484,35.0,0,742,291,742.0
525,14375,1344,354,1344,69.0,111,819,118,0.0
686,10440,958,650,1539,60.0,0,650,78,581.0
656,11198,1134,1122,2504,77.0,0,1122,39,1370.0
528,5825,747,600,747,52.0,0,600,0,0.0
583,9750,1108,133,2097,75.0,975,1108,170,989.0
884,40094,3138,878,4676,130.0,2260,3138,406,1538.0
624,6000,786,698,1176,50.0,0,698,0,390.0
0,7879,720,225,720,60.0,495,720,523,0.0
830,11932,1580,1580,1580,92.0,0,1580,24,0.0
0,7711,1440,0,1440,42.0,1440,1440,0,0.0
540,8633,738,545,1476,64.0,193,738,35,0.0
570,8487,1500,1480,1500,63.0,20,1500,36,0.0
216,6000,884,884,1348,50.0,0,884,0,464.0
884,9230,1200,203,1200,71.0,661,864,64,0.0
514,9500,1394,785,1394,69.0,609,1394,76,0.0
484,9130,800,336,1632,69.0,400,800,40,832.0
336,8521,912,70,912,70.0,842,912,0,0.0
864,22420,1370,242,2624,86.0,1128,1370,0,1254.0
349,13673,1696,1140,1696,40.0,0,1140,30,0.0
440,10440,682,440,1230,60.0,0,440,0,548.0
440,10570,1549,556,2727,70.0,297,853,74,1178.0
429,15578,728,728,1456,105.0,0,728,0,728.0
660,6960,864,250,864,60.0,375,864,0,0.0
380,2522,970,970,1709,24.0,0,970,40,739.0
528,8400,810,167,1665,70.0,643,810,45,855.0
656,9900,1372,360,2646,90.0,987,1347,60,1274.0
595,7226,798,798,1640,72.0,0,798,45,0.0
420,10615,1014,538,1699,107.0,440,978,74,685.0
529,53227,1663,248,1663,69.0,1116,1364,137,0.0
504,9100,1728,396,1728,70.0,1332,1728,0,0.0
462,11218,1055,1055,1845,70.0,0,1055,104,790.0
440,9760,1020,169,1851,80.0,536,822,42,831.0
776,11216,1489,1489,1489,81.0,0,1489,140,0.0
300,9100,864,252,864,70.0,612,864,0,0.0
276,9937,1256,136,1256,75.0,830,1256,68,0.0
816,6600,816,0,816,60.0,816,816,0,0.0
492,13700,902,410,1820,69.0,454,864,84,918.0
833,13125,912,422,2127,103.0,48,1104,192,1215.0
461,8892,1065,1065,1065,80.0,0,1065,0,0.0
312,11340,1200,1200,1200,84.0,0,1200,0,0.0
632,6762,1208,501,1208,64.0,686,1187,61,0.0
642,12665,1133,1094,2482,88.0,0,1094,39,1349.0
527,10593,1720,801,1720,59.0,919,1720,56,0.0
0,4388,840,556,840,55.0,116,672,0,0.0
496,7153,1294,78,1294,69.0,1200,1278,51,0.0
450,7024,1090,110,1090,60.0,980,1090,49,0.0
420,12090,1165,1141,2263,93.0,0,1141,123,0.0
440,10356,969,253,969,120.0,716,969,0,0.0
1248,18000,894,894,894,120.0,0,894,20,0.0
360,8960,1028,1008,1028,56.0,0,1008,0,0.0
492,7136,979,495,1958,82.0,484,979,0,979.0
895,9986,1795,1795,1795,75.0,0,1795,49,0.0
606,10159,1940,284,1940,83.0,1646,1930,95,0.0
439,10000,1178,92,1178,80.0,1084,1176,0,0.0
400,12155,810,516,1482,69.0,156,672,0,672.0
554,12274,1428,1417,1428,91.0,0,1417,60,0.0
338,15523,864,404,864,36.0,460,864,0,0.0
200,9084,616,0,1111,60.0,236,616,0,495.0
420,9765,680,370,1470,69.0,310,680,63,790.0
440,10000,1116,1116,1116,87.0,0,1116,0,0.0
288,7332,864,450,864,60.0,414,864,0,0.0
498,8532,1297,84,1297,74.0,1213,1297,0,0.0
264,9600,1113,506,1113,80.0,607,1113,80,0.0
577,10335,1501,811,1501,78.0,679,1490,29,0.0
614,8640,764,732,1547,72.0,24,756,45,783.0
678,12552,991,769,1947,100.0,222,991,136,956.0
908,11146,1717,1709,1717,87.0,0,1709,39,0.0
440,8816,1052,506,1052,80.0,504,1010,0,0.0
455,9920,1127,255,2013,92.0,862,1117,130,886.0
388,3182,1266,1266,1266,43.0,0,1266,16,0.0
716,16056,1992,1752,2868,85.0,240,1992,108,876.0
554,8795,980,652,2256,69.0,300,952,54,1276.0
494,8773,1414,1390,1414,65.0,24,1414,105,0.0
471,8462,936,114,1721,70.0,814,928,87,785.0
434,11475,811,163,1552,85.0,550,713,208,741.0
528,7500,698,698,1128,60.0,0,698,0,430.0
358,9880,1118,574,1118,76.0,522,1096,0,0.0
574,12640,1728,396,1728,55.0,936,1728,0,0.0
711,46589,1686,88,2448,52.0,1361,1629,76,762.0
452,25095,1473,113,1473,65.0,1324,1437,48,0.0
400,13758,1187,254,1717,44.0,902,1156,36,530.0
400,9587,1166,201,1166,59.0,655,856,0,0.0
484,6442,1370,1346,1370,44.0,24,1370,49,0.0
480,17871,1724,1152,1724,69.0,528,1680,0,0.0
380,2522,970,970,1709,24.0,0,970,40,739.0
264,1680,483,125,987,21.0,358,483,0,0.0
216,7588,901,441,1802,54.0,352,793,0,901.0
360,16560,1170,449,2345,80.0,503,952,0,1175.0
264,8414,1068,396,1068,70.0,663,1059,0,0.0
533,8012,1617,598,1617,50.0,165,1604,69,0.0
336,11988,1244,467,1244,90.0,777,1244,40,0.0
252,11600,1180,700,1180,80.0,0,700,0,0.0
480,2544,520,600,1223,24.0,0,600,166,623.0
612,10240,1686,0,1686,79.0,625,1686,131,0.0
800,9520,1646,125,1646,71.0,1513,1638,44,0.0
264,10000,1144,270,1144,80.0,594,864,0,0.0
639,9245,939,939,1797,79.0,0,939,53,858.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
839,10316,992,257,1865,69.0,735,992,184,873.0
308,8176,1056,210,1056,70.0,846,1056,0,0.0
820,13518,1966,1926,3140,104.0,0,1926,78,1174.0
492,8471,1212,0,1212,88.0,506,506,12,0.0
636,10084,1694,317,1694,75.0,1369,1686,57,0.0
413,11207,802,88,1511,70.0,714,802,75,709.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
560,11340,1246,777,2290,60.0,0,777,0,1044.0
786,13837,1377,0,2183,69.0,1002,1204,0,806.0
594,12376,1699,203,3222,90.0,1470,1673,0,1523.0
512,8750,909,880,1716,70.0,0,880,120,807.0
457,9790,1342,491,1342,69.0,251,1372,0,0.0
437,3182,1504,1330,1504,43.0,16,1346,20,0.0
648,9375,1053,1053,1992,75.0,0,1053,45,0.0
462,2160,624,90,1252,24.0,510,600,48,628.0
264,7758,999,411,999,69.0,588,999,132,0.0
528,7740,741,622,1363,60.0,0,622,0,622.0
490,9020,1165,276,1165,82.0,312,1127,129,0.0
702,11248,1668,567,1668,90.0,1059,1626,45,0.0
853,14215,1158,1158,2376,101.0,0,1158,154,1218.0
352,5000,889,540,1440,63.0,0,540,0,551.0
388,13869,794,612,1470,69.0,182,794,75,676.0
532,12182,1541,340,1541,95.0,1201,1541,70,0.0
0,12108,1440,1307,1440,92.0,133,1440,0,0.0
438,9590,1146,82,1146,73.0,786,868,22,0.0
481,9549,1494,0,1494,30.0,437,1494,30,0.0
738,8834,1462,292,2224,74.0,1170,1462,0,0.0
186,7681,820,731,1343,54.0,0,731,0,523.0
683,16226,1210,747,2452,66.0,281,1028,50,1242.0
540,9500,1127,374,1977,100.0,442,816,52,850.0
504,5306,1064,354,1767,44.0,495,1064,35,703.0
550,6240,1324,461,1324,48.0,863,1324,38,0.0
330,17503,912,912,1458,78.0,0,912,0,546.0
440,9317,1314,1290,1314,78.0,24,1314,22,0.0
529,8012,1575,1145,1575,50.0,430,1575,0,0.0
912,12898,1620,598,1620,89.0,1022,1620,0,0.0
304,11250,1104,1104,1788,69.0,0,1104,0,684.0
240,8400,913,0,913,70.0,187,814,0,0.0
500,13175,2073,589,2073,85.0,790,1542,0,0.0
492,2645,764,776,1441,24.0,0,776,0,677.0
225,8850,815,815,1690,65.0,0,815,0,875.0
576,14175,1437,200,1437,69.0,988,1188,0,0.0
508,20781,2156,1203,2156,69.0,297,1568,80,0.0
0,5604,864,396,864,67.0,468,864,0,0.0
336,2592,536,175,1112,36.0,129,536,0,576.0
746,13474,1122,0,2243,116.0,700,700,44,1121.0
210,9906,810,686,1328,57.0,0,686,172,518.0
216,10800,968,656,968,60.0,0,656,0,0.0
384,8730,698,698,1396,60.0,0,698,0,698.0
834,11394,1856,411,1856,88.0,1445,1856,0,0.0
789,10562,1610,294,2161,86.0,1288,1582,120,551.0
529,16635,1602,356,1602,69.0,1246,1602,0,0.0
280,1680,630,630,1302,21.0,0,630,0,672.0
393,7861,807,326,1509,69.0,457,783,75,702.0
352,12968,912,175,912,69.0,737,912,0,0.0
420,5000,1004,605,1664,50.0,399,1004,24,0.0
576,8400,1390,758,1694,60.0,423,1181,0,304.0
220,4608,747,747,747,47.0,0,747,0,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
493,8935,831,831,1660,68.0,0,831,68,829.0
308,5000,1026,808,1691,50.0,218,1026,0,665.0
720,7200,864,317,864,60.0,398,864,0,0.0
264,7175,752,0,752,50.0,623,744,0,0.0
564,12435,963,602,1792,80.0,361,963,96,829.0
